SKU,Store,Pallet ID,Item ID,UPC,Description,Main Category,Subcategory,Brand,Model,Size,Color,Quantity,Appx. EXT Retail,Appx. Unit Retail,Approx. EXT Wholesale Value,Approx. Unit Wholesale Value,Your Price %,Your EXT Price,Your Unit Price $,% of Load QTY,% of Load $$,Notes
"CARA-LN-PREM015","","","","71249274354","Loreal Paris Extraordinaire Gel-Lacque 1-2-3 Nail Color - Lacque-Red","","","Loreal","","","","122","1340.78","10.99","0.00","0.00","5.00","67.04","0.55","0.0141","0.014555",""
"CARA-LN-PREM015","","","","71249274231","L'Oreal Paris Colour Riche Nail Gold Dust Nail Color, The Reign Of Studs, 0.39 Fluid Ounce","","","Loreal","","","","120","1198.80","9.99","0.00","0.00","5.00","59.94","0.50","0.0139","0.013013",""
"CARA-LN-PREM015","","","","3614227125537","CoverGirl Full Spectrum All Day Idol: Brightening Concealer, Tan Cool - 0.12 Oz | CVS","","","Covergirl","","","","111","1108.89","9.99","0.00","0.00","5.00","55.44","0.50","0.0128","0.012036",""
"CARA-LN-PREM015","","","","3614227125520","CoverGirl Full Spectrum All Day Idol: Brightening Concealer, Deep Cool - 0.12 Oz | CVS","","","Covergirl","","","","109","1088.91","9.99","0.00","0.00","5.00","54.45","0.50","0.0126","0.011821",""
"CARA-LN-PREM015","","","","71249274323","Loreal Paris Extraordinaire Gel Lacque 710 Lacqueriste 0.39 oz Bottle","","","Loreal","","","","106","1164.94","10.99","0.00","0.00","5.00","58.25","0.55","0.0123","0.012646",""
"CARA-LN-PREM015","","","","71249274224","L'Oreal Paris Colour Riche Gold Dust Nail Color 142 Pop The Bubbles 0.39 Fl. Oz. Bottle","","","Loreal","","","","103","1028.97","9.99","0.00","0.00","5.00","51.45","0.50","0.0119","0.011170",""
"CARA-LN-PREM015","","","","3616301034018","COVERGIRL Clean Fresh Hydrating Concealer 410 Rich/Deep 0.23 Oz Lightweight Vegan Formula Concealer Makeup Full Coverage Concealer Under Eye Co","","","Covergirl","","","","96","959.04","9.99","0.00","0.00","5.00","47.95","0.50","0.0111","0.010410",""
"CARA-LN-PREM015","","","","41554579192","Maybelline Radiant Liquid Medium Coverage Hydrating Foundation 30.0 ML","","","Maybelline","","","","88","1143.12","12.99","0.00","0.00","5.00","57.16","0.65","0.0102","0.012410",""
"CARA-LN-PREM015","","","","71249269572","Loreal Paris Colour Riche Nail Color Nude Privee Collection, 650 It's Now or Never","","","Loreal","","","","87","956.13","10.99","0.00","0.00","5.00","47.81","0.55","0.0101","0.010380",""
"CARA-LN-PREM015","","","","41554579222","Maybelline Radiant Liquid Medium Coverage Hydrating Foundation 30.0 ML","","","Maybelline","","","","86","1031.14","11.99","0.00","0.00","5.00","51.56","0.60","0.0100","0.011194",""
"CARA-LN-PREM015","","","","71249269565","Loreal Colour Riche Nail Colour 640 WILD & FREE","","","Loreal","","","","84","923.16","10.99","0.00","0.00","5.00","46.16","0.55","0.0097","0.010022",""
"CARA-LN-PREM015","","","","3614227125551","Full Spectrum All Day Idol Concealer - FS270 Medium Tan Golden","","","Covergirl","","","","75","749.25","9.99","0.00","0.00","5.00","37.46","0.50","0.0087","0.008133",""
"CARA-LN-PREM015","","","","71249409121","Age Perfect Radiant Concealer 1.0 ML","","","Loreal","","","","44","615.56","13.99","0.00","0.00","5.00","30.78","0.70","0.0051","0.006682",""
"CARA-LN-PREM015","","","","79181719742","Pacific World Fuse Starter Kit, 1 ea","","","SensatioNail","","","","43","300.57","6.99","0.00","0.00","5.00","15.03","0.35","0.0050","0.003263",""
"CARA-LN-PREM015","","","","639370098623","CND Weekly Top Coat 15.0 ML TRANSPARENT","","","CND","","","","43","472.57","10.99","0.00","0.00","5.00","23.63","0.55","0.0050","0.005130",""
"CARA-LN-PREM015","","","","71249409138","L Oreal Paris Age Perfect Radiant Concealer Cappuccino 0.23 Fl Oz","","","Loreal","","","","40","559.60","13.99","0.00","0.00","5.00","27.98","0.70","0.0046","0.006075",""
"CARA-LN-PREM015","","","","3614226709059","CoverGirl Full Spectrum Defining Moment: All Day Eyeliner, Gold Metallic - 0.012 Oz | CVS","","","Covergirl","","","","27","269.73","9.99","0.00","0.00","5.00","13.49","0.50","0.0031","0.002929",""
"CARA-LN-PREM015","","","","74170430646","Sally Hansen Hard as Nails Xtreme Wear Nail Polish Shimmy Shimmy (Green Glitter","","","Sally Hansen","","","","27","269.73","9.99","0.00","0.00","5.00","13.49","0.50","0.0031","0.002929",""
"CARA-LN-PREM015","","","","74170430622","Metallic # 220 SHAKE SHAKE Sally Hansen Xtreme Wear #220 glitter nail polish","","","Sally Hansen","","","","27","269.73","9.99","0.00","0.00","5.00","13.49","0.50","0.0031","0.002929",""
"CARA-LN-PREM015","","","","18515127594","Nutra Nail Gel Perfect Uv Free Gel Color Lotus # 12759 - Kit","","","CCA Industries","","","","27","188.73","6.99","0.00","0.00","5.00","9.44","0.35","0.0031","0.002049",""
"CARA-LN-PREM015","","","","74170430615","Sally Hansen Hard as Nails Xtreme Wear Nail Polish, Shimmy Shimmy","","","Sally Hansen","","","","25","249.75","9.99","0.00","0.00","5.00","12.49","0.50","0.0029","0.002712",""
"CARA-LN-PREM015","","","","74170430233","Sally Hansen Lakier Salon Complete Manicure Tupelo Honey Nr 850","","","Sally Hansen","","","","25","249.75","9.99","0.00","0.00","5.00","12.49","0.50","0.0029","0.002712",""
"CARA-LN-PREM015","","","","74170430677","Sally Hansen Xtreme Wear Nail Polish #270","","","Sally Hansen","","","","23","229.77","9.99","0.00","0.00","5.00","11.49","0.50","0.0027","0.002495",""
"CARA-LN-PREM015","","","","74170430738","Sally Hansen Limited Edition Miracle Gel Nail Polish - 150 Lip Palm","","","Sally Hansen","","","","22","219.78","9.99","0.00","0.00","5.00","10.99","0.50","0.0025","0.002386",""
"CARA-LN-PREM015","","","","639370098845","CND Vinylux Long Wear Nail Polish - 121 Hot Pop Pink, 0.5 Fl Oz","","","CND","","","","22","241.78","10.99","0.00","0.00","5.00","12.09","0.55","0.0025","0.002625",""
"CARA-LN-PREM015","","","","639370917580","Vinylux Long Wear Nail Polish (No Lamp Required), 15 Ml, Pink, Satin Pajamas","","","CND","","","","21","230.79","10.99","0.00","0.00","5.00","11.54","0.55","0.0024","0.002505",""
"CARA-LN-PREM015","","","","639370917597","I0106014 0.5 Oz Vinylux Weekly Polish for Women, No.266 Rose Bud","","","CND","","","","21","230.79","10.99","0.00","0.00","5.00","11.54","0.55","0.0024","0.002505",""
"CARA-LN-PREM015","","","","639370099200","W-C-13226 Vinylux Weekly Polish - No. 159 Dark Dahlia Nail Polish for Womens - 0.5 Oz","","","CND","","","","21","230.79","10.99","0.00","0.00","5.00","11.54","0.55","0.0024","0.002505",""
"CARA-LN-PREM015","","","","74170430714","Sally Hansen Milagro Gel Esmalte de U","","","Sally Hansen","","","","21","209.79","9.99","0.00","0.00","5.00","10.49","0.50","0.0024","0.002277",""
"CARA-LN-PREM015","","","","309974829038","Revlon Brilliant Strength Nail Enamel","","","Revlon","","","","21","188.79","8.99","0.00","0.00","5.00","9.44","0.45","0.0024","0.002049",""
"CARA-LN-PREM015","","","","639370922362","Long Wear Top Coat Gel-like Effect 15 Ml","","","CND","","","","21","230.79","10.99","0.00","0.00","5.00","11.54","0.55","0.0024","0.002505",""
"CARA-LN-PREM015","","","","74170430349","Sally Hansen Insta-Dri Nail Color - SH - Express Way - Sally Hansen","","","Sally Hansen","","","","20","199.80","9.99","0.00","0.00","5.00","9.99","0.50","0.0023","0.002169",""
"CARA-LN-PREM015","","","","639370098739","CND Vinylux Long Wear Nail Polish - 110 Dark Lava, 0.5 Fl Oz","","","CND","","","","20","219.80","10.99","0.00","0.00","5.00","10.99","0.55","0.0023","0.002386",""
"CARA-LN-PREM015","","","","74170430721","Sally Hansen Limited Edition Miracle Gel Nail Polish - 140 Dive Bar","","","Sally Hansen","","","","20","199.80","9.99","0.00","0.00","5.00","9.99","0.50","0.0023","0.002169",""
"CARA-LN-PREM015","","","","639370911809","CND Vinylux Nail Polish - Be Demure #214 0.5 Oz","","","CND","","","","20","219.80","10.99","0.00","0.00","5.00","10.99","0.55","0.0023","0.002386",""
"CARA-LN-PREM015","","","","79181719698","Fuse SensatioNail Gelnamel Nail Polish Starter Kit, Na-No Way!","","","Pacific World","","","","20","139.80","6.99","0.00","0.00","5.00","6.99","0.35","0.0023","0.001518",""
